model,dataset,classification_method,seq_len,opt_seq_len,class,accuracy_score,precision,recall,fscore,support,roc_auc_score,tp,fp,tn,fn
security_camera_forest,test,session,1,1,0,0.922,0.9202453987730062,1.0,0.9584664536741214,900,0.61,22,0,900,78
security_camera_forest,test,session,1,1,1,0.922,1.0,0.22,0.36065573770491804,100,0.61,22,0,900,78
security_camera_forest,test,sequence,1,99,0,0.922,0.9202453987730062,1.0,0.9584664536741214,900,0.61,22,0,900,78
security_camera_forest,test,sequence,1,99,1,0.922,1.0,0.22,0.36065573770491804,100,0.61,22,0,900,78
security_camera_forest_entropy_11,test,session,1,1,0,0.951,0.9483667017913593,1.0,0.973499188750676,900,0.755,51,0,900,49
security_camera_forest_entropy_11,test,session,1,1,1,0.951,1.0,0.51,0.6754966887417219,100,0.755,51,0,900,49
security_camera_forest_entropy_11,test,sequence,1,99,0,0.951,0.9483667017913593,1.0,0.973499188750676,900,0.755,51,0,900,49
security_camera_forest_entropy_11,test,sequence,1,99,1,0.951,1.0,0.51,0.6754966887417219,100,0.755,51,0,900,49
security_camera_forest_entropy_15,test,session,1,1,0,0.915,0.9137055837563451,1.0,0.9549071618037135,900,0.575,15,0,900,85
security_camera_forest_entropy_15,test,session,1,1,1,0.915,1.0,0.15,0.2608695652173913,100,0.575,15,0,900,85
security_camera_forest_entropy_15,test,sequence,1,99,0,0.915,0.9137055837563451,1.0,0.9549071618037135,900,0.575,15,0,900,85
security_camera_forest_entropy_15,test,sequence,1,99,1,0.915,1.0,0.15,0.2608695652173913,100,0.575,15,0,900,85
security_camera_forest_entropy_19,test,session,1,1,0,0.947,0.944386149003148,1.0,0.9713977334052888,900,0.735,47,0,900,53
security_camera_forest_entropy_19,test,session,1,1,1,0.947,1.0,0.47,0.6394557823129251,100,0.735,47,0,900,53
security_camera_forest_entropy_19,test,sequence,1,99,0,0.947,0.944386149003148,1.0,0.9713977334052888,900,0.735,47,0,900,53
security_camera_forest_entropy_19,test,sequence,1,99,1,0.947,1.0,0.47,0.6394557823129251,100,0.735,47,0,900,53
security_camera_forest_entropy_21,test,session,1,1,0,0.958,0.9554140127388535,1.0,0.9771986970684039,900,0.79,58,0,900,42
security_camera_forest_entropy_21,test,session,1,1,1,0.958,1.0,0.58,0.7341772151898733,100,0.79,58,0,900,42
security_camera_forest_entropy_21,test,sequence,1,99,0,0.958,0.9554140127388535,1.0,0.9771986970684039,900,0.79,58,0,900,42
